,smiles,pchembl
0,O=C(Nc1nc2ncccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1,7.15
1,CCNC(=O)C1OC(n2cnc3c2ncnc3Nc2ccc(OCC(=O)Nc3ccc(Cl)cc3)cc2)C(O)C1O,7.47
2,C#CCn1c(=O)c2c(nc3cc(OC)ccn32)n(Cc2ccccc2)c1=O,8.385
3,CNC(=O)C12CC1C(n1cnc3c1nc(C#CCCCCC(=O)OC)nc3NCc1cc(Cl)ccc1)C(O)C2O,7.96
4,CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(CCCNC(=O)c2ccc(S(C)(=O)=O)cc2)c1=O,6.163333333333334
5,COc1c(O)ccc(CCNc2nc(C#Cc3ccc(Br)s3)nc3c2ncn3C2C(O)C(O)C3CC32)c1,8.49
6,OC1C(O)C(n2cnc3c2nc(C#Cc2ccccc2Cl)nc3NCCc2ccccc2)C2CC12,7.43
7,NC(=O)NC1C(CO)OC(n2cnc3c2ncnc3NCc2cc(I)ccc2)C1O,6.495
8,CCCn1c(=O)c2c(nc3n(CC)c(C)cn23)n(Cc2ccccc2)c1=O,6.7
9,CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)C(O)C1O,8.62
10,CCOC(=O)C(Cc1cc2c(cccc2)[nH]1)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,7.22
11,CNC(=O)C12CC1C(n1cnc3c1nc(Cl)nc3NCc1c(OC)ccc(OC)c1)C(O)C2O,8.85
12,COc1cc(-c2cc(NC(C)=O)nc(-c3cc(OC)ccc3)c2)ccc1,7.83
13,Cn1c(=O)c2c([nH]c(-c3ccc(OCCCN4CCN(Cc5ccccc5Cl)CC4)cc3)n2)n(C)c1=O,8.16
14,Cc1nc(O)c2nc(-n3cccc3)sc2n1,6.64
15,O=C(Nc1nc(-c2ccccc2)nc2nn(Cc3ccccc3)cc12)c1ccccc1,8.52
16,CNC(=O)OCC1OC(n2cnc3c2nc(Cl)nc3NCc2cc(I)ccc2)C(O)C1O,8.48
17,CNC(=O)C12CC1C(n1cnc3c1nc(Cl)nc3NCc1ccccc1C)C(O)C2O,8.43
18,CC(O)CNc1nc2c(cccc2)n2nc(-c3ccco3)nc12,7.64
19,CN(C)c1ccc(Nc2nc(NC3CCCCC3)c3[nH]cnc3n2)cc1,7.16
20,CCn1c(=O)c2c(nc3N(CCc4cccc(OC)c4)CCCn32)n(CC)c1=O,5.47
21,Cn1cc2c(n1)nc(NCC1CCC(CNC(=O)OC(C)(C)C)CC1)n1nc(-c3ccco3)nc21,6.07
22,CC(C)CCn1cc2c(n1)nc(NC(=O)COc1ccc(Cl)cc1)n1nc(-c3ccco3)nc21,5.64
23,OCC1OC(n2cnc3c2nc(Cl)nc3NC2CC3CCC2C3)C(O)C1O,6.89
24,CNc1c2ncn(C3OC(CO)C(O)C3O)c2nc(-n2cc(-c3cnccc3)cn2)n1,8.7
25,CCCSc1nc(OCc2cccc(Cl)c2)cc(NC(C)=O)n1,8.15
26,O=C(Nc1nc(-c2ccccc2)c(C(=O)c2cnccc2)s1)c1ccco1,5.73
27,CCOC(=O)c1cn(-c2nc3c(ncn3C3OC(CO)C(O)C3O)c(NC3CCCCC3)n2)nc1,7.52
28,COc1ccc(C(=O)Nc2nc3ccc(Cl)cc3n3c(=O)c(-c4ccc(C)cc4)nn23)cc1,7.91
29,CC(C)n1c(Br)nc2c1ncnc2N,4.82
30,Cn1c(-c2ccco2)nc2c1ncnc2NC(=O)c1ccc(-c2ccccc2)cc1,4.69
31,Cn1cc2c(n1)nc(NC(=O)Cc1c(Cl)cccc1Cl)n1nc(-c3ccco3)nc21,7.35
32,O=C(Cc1cc2c(cccc2)cc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,6.14
33,CCCCC#Cc1nc(NC2CCCC2)c2ncn(C3C(O)C(O)C4CC43)c2n1,6.8
34,O=[N+]([O-])c1ccc(Nc2nc3c(ncnc3Cl)s2)cc1,5.1
35,CNC(=O)C12CC1C(n1cnc3c1nc(Cl)nc3NCc1cccc(I)c1)C(O)C2O,8.82
36,Cn1cc2c(n1)nc(N1CCN(C(=O)OC(C)(C)C)CC1)n1nc(-c3ccco3)nc21,6.13
37,CCSCC1OC(n2cnc3c2ncnc3NC(C2CCC2)C2CCC2)C(O)C1O,5.21
38,CCNC(=O)C1OC(n2cnc3c2ncnc3NCCNc2ccc([N+](=O)[O-])c3nonc23)C(O)C1O,7.25
39,CCOC(=O)Cc1ccc(NC(=O)Nc2nc3nn(CC4CCCCC4)cc3c3nc(-c4ccco4)nn23)cc1,6.66
40,CNC(=O)C12CC1C(n1cnc3c(NC)nc(-n4cc(-c5ccc(Cl)s5)nn4)nc31)C(O)C2O,9.14
41,Cn1cc2c(n1)nc(NC(=O)Nc1ccc(CC(=O)OCCCOCCOCCOCCCNC(=O)OC(C)(C)C)cc1)n1nc(-c3ccco3)nc21,7.08
42,Cc1cc(-n2cc3nc(C)nc(O)c3n2)ccc1,6.795
43,O=c1[nH]c(-c2cccc(O)c2)cn2c(=O)n(-c3ccccc3)nc12,5.98
