,molecule_chembl_id,Ki,units,smiles,pKi
0,CHEMBL118923,0.01,nM,Cl.Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,11.0
1,CHEMBL3754229,0.027,nM,COc1ccc(C(=O)Nc2nc(-c3cccs3)nc3cn(-c4ccccc4)nc23)cc1,10.568636235841012
2,CHEMBL89852,0.0314,nM,CCO/C(O)=C1\C(C)=NC(c2ccccc2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1,10.503070351926786
3,CHEMBL332091,0.04,nM,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,10.397940008672037
4,CHEMBL1091268,0.108,nM,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccccc4)nc23)n1,9.96657624451305
5,CHEMBL340868,0.11,nM,CCOC(=O)C1=C(c2ccccc2)Nc2cc(C)c(C(=O)OCC)cc2C1/C=C/c1ccccc1,9.958607314841775
6,CHEMBL348975,0.14,nM,CCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,9.853871964321762
7,CHEMBL145767,0.14,nM,COc1ccc(NC(=O)Nc2nc3n[nH]cc3c3nc(-c4ccco4)nn23)cc1,9.853871964321762
8,CHEMBL144979,0.14,nM,COc1ccc(NC(=O)Nc2nc3ccc(Cl)cc3c3nc(-c4ccco4)nn23)cc1,9.853871964321762
9,CHEMBL209992,0.14,nM,CCn1cc2c(n1)N=C(NC(=O)Nc1ccc(C)cc1)N1NC(c3ccco3)=NC21,9.853871964321762
10,CHEMBL168018,0.15,nM,CCCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,9.823908740944319
11,CHEMBL1834703,0.16,nM,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(-c5ccco5)cc4)nc23)n1,9.795880017344075
12,CHEMBL324735,0.16,nM,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,9.795880017344075
13,CHEMBL1098108,0.18,nM,COc1ccc(C(=O)Nc2nc(-c3ccccc3)nc3nn(C)cc23)cc1,9.744727494896694
